Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ModesTestSuite,Chrome 70.0.3538.77,,2018-11-01 16:28:21,2018-11-01 16:28:35,13.917s,FAILED
,,,,,,
Test Cases/RecordMode,Chrome 70.0.3538.77,,2018-11-01 16:28:22,2018-11-01 16:28:35,12.836s,FAILED
openBrowser,Chrome 70.0.3538.77,,2018-11-01 16:28:22,2018-11-01 16:28:26,4.208s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-01 16:28:26,2018-11-01 16:28:30,4.073s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 16:28:30,2018-11-01 16:28:31,0.630s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 16:28:31,2018-11-01 16:28:31,0.189s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-01 16:28:31,2018-11-01 16:28:32,0.791s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 16:28:32,2018-11-01 16:28:32,0.536s,FAILED
